filename,nodes,edges,fragmentation,clustering_coefficient,nodes_in_largest_component,publication_count
Information_Systems,65349,196087,0.8349418410730658,0.7980120118686054,26543,26585
Hardware_and_Architecture,2276,7084,0.6494505494505495,0.8344363233186639,1345,1169
Computational_Theory_and_Mathematics,8568,46513,0.8650085223770844,0.8048395895503753,3132,3951
Artificial_Intelligence,28636,119515,0.6386206589904442,0.7734003876710511,17211,14161
Human-Computer_Interaction,4516,12116,0.9307262378039152,0.7814722963691239,1174,1840
Computer_Vision_and_Pattern_Recognition,13776,49678,0.6919880862796184,0.8170273425684037,7641,6214
Computer_Networks_and_Communications,14701,48756,0.6441957625169652,0.7761678831413821,8763,7884
Signal_Processing,4399,13340,0.8925919642946674,0.8190149366833003,1409,2137
Computer_Graphics_and_Computer-Aided_Design,925,1709,0.9820826020826021,0.7894801204801205,105,368
Software,1736,4221,0.8648680593367774,0.7953807106888989,630,807
_collabnet_full,128847,492524,0.6449704538242274,0.7791034655021599,76770,68142
Computer_Science_Applications,7023,17872,0.8511375712134029,0.7822051198296841,2705,3026
