subfield_display,domestic_publications,international_publications,total_publications,domestic_percentage,international_percentage
Computational Theory and Mathematics,2471,1480,3951,62.54,37.46
Computer Networks and Communications,5309,2575,7884,67.34,32.66
Computer Graphics and Computer-Aided Design,251,117,368,68.21,31.79
Hardware and Architecture,811,358,1169,69.38,30.62
Artificial Intelligence,10009,4152,14161,70.68,29.32
Computer Vision and Pattern Recognition,4470,1744,6214,71.93,28.07
Signal Processing,1543,594,2137,72.2,27.8
Software,583,224,807,72.24,27.76
Computer Science Applications,2260,766,3026,74.69,25.31
Human-Computer Interaction,1443,397,1840,78.42,21.58
Information Systems,22135,4450,26585,83.26,16.74
Total,51285,16857,68142,75.26,24.74
