id,name,country,primary_subfield,total_publications,Artificial Intelligence,Computational Theory and Mathematics,Computer Graphics and Computer-Aided Design,Computer Networks and Communications,Computer Science Applications,Computer Vision and Pattern Recognition,Hardware and Architecture,Human-Computer Interaction,Information Systems,Signal Processing,Software
A5053631086,Tirtha Chanda,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5031320542,Katja Hauser,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5046389977,Sarah Hobelsberger,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5010368340,Tabea-Clara Bucher,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5004752636,Carina Nogueira Garcia,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5069221894,Christoph Wies,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5000215116,Harald Kittler,AT,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5035102732,Philipp Tschandl,AT,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5062898613,Cristián Navarrete‐Dechent,CL,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5054626443,Sebastián Podlipnik,ES,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5018425729,Emmanouil Chousakos,GR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5023029456,Iva Crnaric,HR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5036299770,Jovana Majstorovic,RS,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5038104579,Linda Alhajwan,AE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5015195027,Tanya Foreman,US,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5084350465,Sandra Peternel,HR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5004864473,Sergei Sarap,EE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5093630497,İrem Özdemir,TR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5044032877,Raymond L. Barnhill,FR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5041642951,Mar Llamas‐Velasco,ES,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5076600698,Gabriela Poch,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5107522423,Sören Korsing,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5058670875,Wiebke Sondermann,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5088740883,Frank Friedrich Gellrich,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5072203765,Markus V. Heppt,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5009718678,Michael Erdmann,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5025256131,Sebastian Haferkamp,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5036085556,Konstantin Drexler,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5076078511,Matthias Goebeler,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5008750058,Bastian Schilling,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5007887862,Jochen Utikal,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5055619378,Kamran Ghoreschi,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5006404204,Stefan Fröhling,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5091513635,Eva Krieghoff‐Henning,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5022501254,Alexander Salava,FI,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5075754000,Alexander Thiem,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5093720084,Alexandris Dimitrios,GR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5046718529,Amr Mohammad Ammar,EG,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5093720085,Ana Sanader Vučemilović,HR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5057034634,Andrea Miyuki Yoshimura,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5048021410,Andzelka Ilieva,MK,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5017486762,Anja Gesierich,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5087727500,Antonia Reimer,US,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5036480485,Antonios G.A. Kolios,CH,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5008164030,Arturs Kaļva,LV,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5069861684,Arzu Ferhatosmanoğlu,TR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5071584722,Aude Beyens,BE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5024012524,Claudia Pföhler,DE,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5093720086,Dilara Ilhan Erdil,TR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5086115290,Dobrila Jovanovic,RS,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
