subfield_display,publication_year,single_subfield_publications,multi_subfield_publications,total_publications,single_subfield_percentage,multi_subfield_percentage,single_subfield_avg_citations,multi_subfield_avg_citations
Artificial Intelligence,2015,823.0,435.0,1258.0,65.42,34.58,13.445929526123937,8.675862068965516
Computational Theory and Mathematics,2015,260.0,131.0,391.0,66.5,33.5,25.392307692307693,21.442748091603054
Computer Graphics and Computer-Aided Design,2015,15.0,23.0,38.0,39.47,60.53,3.1333333333333333,7.608695652173913
Computer Networks and Communications,2015,464.0,312.0,776.0,59.79,40.21,10.681034482758621,9.525641025641026
Computer Science Applications,2015,102.0,140.0,242.0,42.15,57.85,4.215686274509804,14.385714285714286
Computer Vision and Pattern Recognition,2015,317.0,280.0,597.0,53.1,46.9,12.71608832807571,8.214285714285714
Hardware and Architecture,2015,44.0,89.0,133.0,33.08,66.92,8.75,4.98876404494382
Human-Computer Interaction,2015,54.0,80.0,134.0,40.3,59.7,4.814814814814815,8.7875
Information Systems,2015,1338.0,453.0,1791.0,74.71,25.29,3.693572496263079,8.408388520971302
Signal Processing,2015,88.0,129.0,217.0,40.55,59.45,15.556818181818182,10.24031007751938
Software,2015,23.0,65.0,88.0,26.14,73.86,9.478260869565217,5.076923076923077
Total,2015,3528.0,2137.0,5665.0,62.28,37.72,9.723922902494332,9.66354702854469
Artificial Intelligence,2016,868.0,386.0,1254.0,69.22,30.78,12.182027649769585,11.580310880829016
Computational Theory and Mathematics,2016,228.0,89.0,317.0,71.92,28.08,12.399122807017545,11.955056179775282
Computer Graphics and Computer-Aided Design,2016,15.0,27.0,42.0,35.71,64.29,5.6,4.2592592592592595
Computer Networks and Communications,2016,456.0,298.0,754.0,60.48,39.52,9.072368421052632,10.338926174496644
Computer Science Applications,2016,125.0,133.0,258.0,48.45,51.55,5.888,11.263157894736842
Computer Vision and Pattern Recognition,2016,301.0,254.0,555.0,54.23,45.77,10.043189368770765,12.960629921259843
Hardware and Architecture,2016,48.0,90.0,138.0,34.78,65.22,6.416666666666667,4.588888888888889
Human-Computer Interaction,2016,79.0,85.0,164.0,48.17,51.83,8.455696202531646,8.188235294117646
Information Systems,2016,1742.0,441.0,2183.0,79.8,20.2,10.152698048220437,7.258503401360544
Signal Processing,2016,103.0,118.0,221.0,46.61,53.39,17.155339805825243,13.474576271186441
Software,2016,33.0,70.0,103.0,32.04,67.96,9.969696969696969,7.771428571428571
Total,2016,3998.0,1991.0,5989.0,66.76,33.24,10.540020010005003,10.027122049221497
Artificial Intelligence,2017,901.0,437.0,1338.0,67.34,32.66,10.968923418423973,11.71395881006865
Computational Theory and Mathematics,2017,260.0,100.0,360.0,72.22,27.78,8.711538461538462,9.32
Computer Graphics and Computer-Aided Design,2017,28.0,13.0,41.0,68.29,31.71,7.678571428571429,10.384615384615385
Computer Networks and Communications,2017,473.0,292.0,765.0,61.83,38.17,10.08245243128964,12.044520547945206
Computer Science Applications,2017,137.0,148.0,285.0,48.07,51.93,8.043795620437956,8.72972972972973
Computer Vision and Pattern Recognition,2017,289.0,276.0,565.0,51.15,48.85,10.117647058823529,12.80072463768116
Hardware and Architecture,2017,42.0,73.0,115.0,36.52,63.48,5.5476190476190474,6.616438356164384
Human-Computer Interaction,2017,76.0,90.0,166.0,45.78,54.22,3.736842105263158,11.655555555555555
Information Systems,2017,1910.0,416.0,2326.0,82.12,17.88,3.3209424083769634,9.096153846153847
Signal Processing,2017,98.0,115.0,213.0,46.01,53.99,7.795918367346939,8.139130434782608
Software,2017,45.0,55.0,100.0,45.0,55.0,5.377777777777778,9.381818181818181
Total,2017,4259.0,2015.0,6274.0,67.88,32.12,6.8147452453627615,10.568734491315137
Artificial Intelligence,2018,1024.0,501.0,1525.0,67.15,32.85,9.1982421875,12.99001996007984
Computational Theory and Mathematics,2018,299.0,132.0,431.0,69.37,30.63,10.762541806020067,7.840909090909091
Computer Graphics and Computer-Aided Design,2018,11.0,30.0,41.0,26.83,73.17,8.454545454545455,4.466666666666667
Computer Networks and Communications,2018,574.0,359.0,933.0,61.52,38.48,10.214285714285714,13.832869080779945
Computer Science Applications,2018,148.0,153.0,301.0,49.17,50.83,6.75,12.928104575163399
Computer Vision and Pattern Recognition,2018,332.0,313.0,645.0,51.47,48.53,10.563253012048193,13.456869009584665
Hardware and Architecture,2018,43.0,90.0,133.0,32.33,67.67,5.558139534883721,4.322222222222222
Human-Computer Interaction,2018,66.0,108.0,174.0,37.93,62.07,4.7272727272727275,9.944444444444445
Information Systems,2018,2058.0,490.0,2548.0,80.77,19.23,3.2988338192419824,8.03061224489796
Signal Processing,2018,95.0,144.0,239.0,39.75,60.25,8.25263157894737,10.145833333333334
Software,2018,23.0,47.0,70.0,32.86,67.14,15.043478260869565,10.085106382978724
Total,2018,4673.0,2367.0,7040.0,66.38,33.62,6.755617376417719,11.05449936628644
Artificial Intelligence,2019,1009.0,543.0,1552.0,65.01,34.99,8.885034687809712,11.751381215469614
Computational Theory and Mathematics,2019,295.0,99.0,394.0,74.87,25.13,9.067796610169491,9.0
Computer Graphics and Computer-Aided Design,2019,23.0,25.0,48.0,47.92,52.08,3.608695652173913,6.2
Computer Networks and Communications,2019,578.0,425.0,1003.0,57.63,42.37,10.501730103806228,11.585882352941177
Computer Science Applications,2019,168.0,217.0,385.0,43.64,56.36,4.035714285714286,6.861751152073733
Computer Vision and Pattern Recognition,2019,391.0,385.0,776.0,50.39,49.61,11.62915601023018,10.924675324675325
Hardware and Architecture,2019,38.0,56.0,94.0,40.43,59.57,8.842105263157896,7.0
Human-Computer Interaction,2019,107.0,116.0,223.0,47.98,52.02,3.691588785046729,8.258620689655173
Information Systems,2019,1969.0,539.0,2508.0,78.51,21.49,2.820213306246826,6.76252319109462
Signal Processing,2019,99.0,151.0,250.0,39.6,60.4,6.7272727272727275,6.0198675496688745
Software,2019,27.0,67.0,94.0,28.72,71.28,5.703703703703703,8.432835820895523
Total,2019,4704.0,2623.0,7327.0,64.2,35.8,6.403486394557823,9.34616850934045
Artificial Intelligence,2020,1068.0,559.0,1627.0,65.64,34.36,7.894194756554307,9.525939177101968
Computational Theory and Mathematics,2020,295.0,113.0,408.0,72.3,27.7,11.43728813559322,9.389380530973451
Computer Graphics and Computer-Aided Design,2020,9.0,25.0,34.0,26.47,73.53,2.3333333333333335,4.28
Computer Networks and Communications,2020,509.0,372.0,881.0,57.78,42.22,8.984282907662083,6.962365591397849
Computer Science Applications,2020,150.0,173.0,323.0,46.44,53.56,5.133333333333334,7.543352601156069
Computer Vision and Pattern Recognition,2020,380.0,355.0,735.0,51.7,48.3,7.9605263157894735,12.509859154929577
