subfield_display,single_publications,multi_publications,total_publications,single_percentage,multi_percentage,single_avg_citations,multi_avg_citations
Software,183,243,426,42.96,57.04,3.819672131147541,4.810699588477366
Signal Processing,563,652,1215,46.34,53.66,4.536412078152753,4.845092024539877
Hardware and Architecture,295,312,607,48.6,51.4,3.183050847457627,3.355769230769231
Computer Graphics and Computer-Aided Design,108,90,198,54.55,45.45,2.962962962962963,3.4444444444444446
Computer Science Applications,1116,822,1938,57.59,42.41,3.2983870967741935,5.358880778588808
Human-Computer Interaction,690,499,1189,58.03,41.97,2.8260869565217392,7.793587174348698
Computer Vision and Pattern Recognition,2266,1526,3792,59.76,40.24,5.764342453662842,7.619921363040629
Computer Networks and Communications,2970,1597,4567,65.03,34.97,5.6878787878787875,6.377582968065122
Artificial Intelligence,6252,2423,8675,72.07,27.93,5.0938899552143315,7.078002476269088
Computational Theory and Mathematics,1959,405,2364,82.87,17.13,5.704441041347627,5.987654320987654
Information Systems,15604,2177,17781,87.76,12.24,1.9104075877980005,4.797427652733119
Total,32006,10746,42752,74.86,25.14,3.528400924826595,6.124232272473479
