author_id,author_name,movement_type,prev_year,prev_countries,prev_publication_id,curr_year,curr_countries,curr_publication_id
A5031363132,Michael Röder,Foreign to Brazilian,2020,DE,W3134376907,2024,BR,W4391789137
A5054264208,Paolo Rech,Brazilian to Foreign,2021,BR,W3120425629,2022,IT,W4297337535
A5054264208,Paolo Rech,Foreign to Brazilian,2022,IT,W4297337535,2022,"BR, IT",W4280619532
A5054264208,Paolo Rech,Brazilian to Foreign,2022,"BR, IT",W4206193900,2022,IT,W4287848942
A5054264208,Paolo Rech,Foreign to Brazilian,2022,IT,W4287848942,2022,"BR, IT",W4287849833
A5054264208,Paolo Rech,Brazilian to Foreign,2023,"BR, IT",W4381800677,2023,IT,W4386634165
A5054264208,Paolo Rech,Foreign to Brazilian,2023,IT,W4386634165,2024,BR,W4391326596
A5043310039,Rodrigo M. Corder,Foreign to Brazilian,2023,US,W4386700253,2024,"BR, US",W4391482944
A5090542944,Gustavo C. Amaral,Brazilian to Foreign,2021,"BR, NL",W3167582015,2023,NL,W4386352797
A5090542944,Gustavo C. Amaral,Foreign to Brazilian,2023,NL,W4386352797,2023,BR,W4376873355
A5090542944,Gustavo C. Amaral,Brazilian to Foreign,2023,BR,W4376873355,2024,NL,W4391471679
A5102896507,Daniel Martin,Brazilian to Foreign,2021,"BR, CL",W3207328204,2021,CL,W3204773923
A5022634404,Juan Guillermo Lazo Lazo,Foreign to Brazilian,2023,PE,W4317433605,2024,"BR, PE",W4391253788
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2015,PT,W1482557744,2015,"BR, PT",W2344271891
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2015,"BR, PT",W2344172948,2016,PT,W1559586102
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2016,PT,W1559586102,2016,"BR, PT",W2507456656
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2016,"BR, PT, RU",W2518558027,2016,PT,W2508348232
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2016,PT,W2508348232,2016,"BR, PT",W2514524524
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2017,BR,W2739951819,2017,PT,W2755505246
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2017,PT,W2755505246,2017,"BR, PT, RU",W2771635558
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2017,"BR, PT, RU",W2784219033,2017,PT,W2898639880
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2017,PT,W2898639880,2017,"BR, PT",W2782572729
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2017,"BR, RU, SA",W2571613126,2017,PT,W2731971941
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2017,PT,W2731971941,2017,"BR, PT, RU",W2592611320
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2017,BR,W2740722358,2017,PT,W2773654769
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2017,PT,W2773654769,2017,"BR, PT, RU",W2688051750
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2018,BR,W2891071042,2018,PT,W2917459529
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2018,PT,W2917459529,2018,BR,W2916473510
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2018,BR,W2885118709,2018,PT,W2815417070
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2018,PT,W2815417070,2018,"BR, PT",W2900959021
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2018,"BR, PT",W2890436618,2018,PT,W2810550035
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2018,PT,W2810550035,2018,"BR, PT, RU",W2787444476
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2018,"BR, PT, RU, SA",W2784792583,2018,PT,W2902188326
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2018,PT,W2902188326,2018,"BR, PT, RU",W2888966007
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2018,"BR, US",W2851625681,2018,PT,W2898635601
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2018,PT,W2898635601,2018,BR,W2896228763
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2018,"BR, PT, RU",W2785346526,2018,PT,W2800951337
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2018,PT,W2800951337,2018,"BR, PT",W2891686988
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2019,BR,W2982382772,2019,"PT, RU",W2909426301
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2019,"PT, RU",W2909426301,2019,"BR, PT, SA",W2915566824
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2019,BR,W2965486389,2020,DZ,W3090449186
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2020,DZ,W3090449186,2020,"BR, PT",W3117458838
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2020,"BR, PT",W2997080176,2020,"PT, SA",W3008249743
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2020,"PT, SA",W3008249743,2020,"BR, PT, RU",W3080202253
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2020,BR,W3113700694,2020,SA,W3045884031
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2020,"PT, SA",W3014501349,2020,"BR, PT",W2999570691
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2021,BR,W3192723027,2021,PT,W3190440955
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2021,PT,W3190440955,2021,"BR, PT",W3162481070
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2021,BR,W3213280632,2021,PT,W3157758310
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2021,PT,W3157758310,2021,"BR, PT",W3217507477
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2021,"BR, PT",W3189004629,2022,PT,W4205595354
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2022,CN,W4285213141,2022,BR,W4212964970
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2022,BR,W4212964970,2022,CN,W4285506366
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2022,CN,W4285506366,2022,"BR, CN, PT",W4308988646
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2022,BR,W4212772388,2022,"CN, PT",W4225274938
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2022,"CN, PT",W4225274938,2022,BR,W4308043708
A5076776322,Joel J. P. C. Rodrigues,Brazilian to Foreign,2022,BR,W4312887264,2023,PT,W4385408421
A5076776322,Joel J. P. C. Rodrigues,Foreign to Brazilian,2023,PT,W4385408421,2024,BR,W4391528333
A5093671935,Caroline Brandão Brito,Brazilian to Foreign,2024,BR,W4390942155,2024,UY,W4390709120
A5004613188,Marcelo Carneiro,Brazilian to Foreign,2024,"BR, GB",W4390933762,2024,PT,W4400398102
A5019275328,Gabriela Marcellino de Melo Lanzoni,Foreign to Brazilian,2016,PT,W2583443607,2016,BR,W2509560412
A5009301495,Harish Shrivastava,Brazilian to Foreign,2021,BR,W3135720560,2024,IN,W4390787514
A5026365458,Vinicius Grilo,Brazilian to Foreign,2023,BR,W4367294077,2024,PT,W4390879644
A5033620133,João Braun,Brazilian to Foreign,2019,BR,W2968133620,2023,PT,W4386953115
A5054089208,Maristela Holanda,Brazilian to Foreign,2023,"BR, US",W4390621496,2023,US,W4387362983
A5054089208,Maristela Holanda,Foreign to Brazilian,2023,US,W4387362983,2024,"BR, US",W4391601595
A5045204301,Dilma Da Silva,Brazilian to Foreign,2020,BR,W3112318120,2021,US,W4206435438
A5045204301,Dilma Da Silva,Foreign to Brazilian,2023,US,W4390621496,2024,"BR, US",W4391601595
A5045204301,Dilma Da Silva,Brazilian to Foreign,2024,"BR, US",W4391601595,2024,US,W4396981147
A5059362886,Frédéric Valentin,Brazilian to Foreign,2018,BR,W2555565603,2019,FR,W2946946244
A5059362886,Frédéric Valentin,Foreign to Brazilian,2019,FR,W2946946244,2019,BR,W2995453962
A5059362886,Frédéric Valentin,Brazilian to Foreign,2022,"BR, FR",W4292941884,2023,FR,W3010983162
A5059362886,Frédéric Valentin,Foreign to Brazilian,2023,FR,W3010983162,2023,"BR, FR",W4323273672
A5025341409,Alex E. Bernardini,Brazilian to Foreign,2018,BR,W3104631351,2018,PT,W2782470281
A5025341409,Alex E. Bernardini,Foreign to Brazilian,2018,PT,W2782470281,2018,BR,W2782261561
A5049553375,Samir Kanaan Nabhan,Foreign to Brazilian,2017,FR,W2590454538,2024,BR,W4391614297
A5070629635,Silvio Jamil F. Guimarães,Brazilian to Foreign,2015,BR,W1250581112,2016,FR,W2579330182
A5070629635,Silvio Jamil F. Guimarães,Foreign to Brazilian,2016,FR,W2579330182,2016,BR,W2364255476
A5070629635,Silvio Jamil F. Guimarães,Brazilian to Foreign,2017,BR,W2794415434,2018,FR,W2907102629
A5070629635,Silvio Jamil F. Guimarães,Foreign to Brazilian,2018,FR,W2907102629,2019,BR,W2981491038
A5035133271,Iure Fé,Brazilian to Foreign,2021,BR,W3180029388,2021,PT,W3134187373
A5035133271,Iure Fé,Foreign to Brazilian,2021,PT,W3134187373,2022,BR,W4212874522
A5070735330,Luciano Agostini,Brazilian to Foreign,2018,BR,W2810628134,2018,PT,W2900904625
A5070735330,Luciano Agostini,Foreign to Brazilian,2018,PT,W2900904625,2018,BR,W2901120452
A5070735330,Luciano Agostini,Brazilian to Foreign,2018,BR,W2912737918,2018,PT,W2891732861
A5070735330,Luciano Agostini,Foreign to Brazilian,2018,PT,W2891732861,2018,BR,W2892067052
A5043147904,Anderson Rocha,Brazilian to Foreign,2017,"BR, US",W2621156800,2017,US,W2963219740
A5043147904,Anderson Rocha,Foreign to Brazilian,2017,US,W2963219740,2017,BR,W2918413273
A5040178299,Edson Borin,Brazilian to Foreign,2017,BR,W2767406404,2017,CN,W2623735841
A5040178299,Edson Borin,Foreign to Brazilian,2017,CN,W2623735841,2018,BR,W3134776827
A5023818241,Renato Lui Geh,Brazilian to Foreign,2019,BR,W3011690718,2023,US,W4388198471
A5023818241,Renato Lui Geh,Foreign to Brazilian,2023,US,W4388198471,2023,BR,W4382723310
A5023818241,Renato Lui Geh,Brazilian to Foreign,2023,BR,W4382723310,2024,US,W4403792806
A5056290966,João Victor Barbosa Alves,Foreign to Brazilian,2016,US,W2473639399,2024,BR,W4403396948
A5064422885,Javam C. Machado,Brazilian to Foreign,2021,BR,W3215831804,2021,US,W3183152505
A5064422885,Javam C. Machado,Foreign to Brazilian,2021,US,W3183152505,2021,BR,W4200550469
A5108651387,José Maria Monteiro,Brazilian to Foreign,2016,BR,W2279241154,2017,PT,W2759685565
A5108651387,José Maria Monteiro,Foreign to Brazilian,2017,PT,W2759685565,2017,BR,W2619365251
A5084920912,Nadia Nedjah,Brazilian to Foreign,2018,BR,W2808744066,2018,DZ,W2892110254
A5084920912,Nadia Nedjah,Foreign to Brazilian,2018,DZ,W2892110254,2018,BR,W2809783851
A5084920912,Nadia Nedjah,Brazilian to Foreign,2021,BR,W3196594607,2021,AU,W3138547989
A5084920912,Nadia Nedjah,Foreign to Brazilian,2021,AU,W3138547989,2021,BR,W3167876643
A5008214323,Denis Rosário,Brazilian to Foreign,2021,BR,W4205544480,2024,DE,W4406676306
