filename,publication_count,nodes,edges,fragmentation,clustering_coefficient,nodes_in_largest_component
Information_Systems,"22,042","57,243","179,780",0.84,0.83,"22,872"
Artificial_Intelligence,"13,166","26,507","111,740",0.62,0.79,"16,432"
Computer_Networks_and_Communications,"7,380","13,545","46,970",0.60,0.80,"8,562"
Computer_Vision_and_Pattern_Recognition,"5,935","13,154","48,680",0.67,0.83,"7,497"
Computational_Theory_and_Mathematics,"3,851","8,273","46,178",0.86,0.82,"3,056"
Computer_Science_Applications,"2,880","6,548","17,039",0.84,0.81,"2,639"
Signal_Processing,"2,032","4,217","13,022",0.89,0.83,"1,379"
Human-Computer_Interaction,"1,717","4,157","11,783",0.92,0.81,"1,157"
Hardware_and_Architecture,"1,142","2,214","6,923",0.64,0.84,"1,325"
Software,759,"1,635","4,037",0.86,0.81,595
Computer_Graphics_and_Computer-Aided_Design,343,831,"1,513",0.98,0.79,101
_collabnet_full,"61,247","119,228","465,163",0.64,0.79,"71,373"
_highly_cited_net,"1,687","6,508","56,181",0.86,0.90,"2,417"
_recurrent_highly_cited_net,"1,687","1,016","2,123",0.97,0.64,127
