publication_year,subfield_id,subfield_display_name,count,citation_count,country_code
2024,subfields/1707,Computer Vision and Pattern Recognition,483,239,BR
2024,subfields/1710,Information Systems,1932,399,BR
2024,subfields/1703,Computational Theory and Mathematics,282,250,BR
2024,subfields/1702,Artificial Intelligence,1186,709,BR
2024,subfields/1705,Computer Networks and Communications,550,345,BR
2024,subfields/1706,Computer Science Applications,286,121,BR
2024,subfields/1712,Software,48,28,BR
2024,subfields/1711,Signal Processing,131,102,BR
2024,subfields/1709,Human-Computer Interaction,168,109,BR
2024,subfields/1708,Hardware and Architecture,74,10,BR
2024,subfields/1704,Computer Graphics and Computer-Aided Design,27,13,BR
2023,subfields/1707,Computer Vision and Pattern Recognition,623,1111,BR
2023,subfields/1710,Information Systems,3563,2330,BR
2023,subfields/1703,Computational Theory and Mathematics,491,884,BR
2023,subfields/1702,Artificial Intelligence,1613,3365,BR
2023,subfields/1705,Computer Networks and Communications,710,1370,BR
2023,subfields/1706,Computer Science Applications,377,684,BR
2023,subfields/1712,Software,76,81,BR
2023,subfields/1711,Signal Processing,229,474,BR
2023,subfields/1709,Human-Computer Interaction,213,258,BR
2023,subfields/1708,Hardware and Architecture,87,161,BR
2023,subfields/1704,Computer Graphics and Computer-Aided Design,30,26,BR
2022,subfields/1707,Computer Vision and Pattern Recognition,643,2437,BR
2022,subfields/1710,Information Systems,3361,5170,BR
2022,subfields/1703,Computational Theory and Mathematics,507,1952,BR
2022,subfields/1702,Artificial Intelligence,1640,6690,BR
2022,subfields/1705,Computer Networks and Communications,761,2597,BR
2022,subfields/1706,Computer Science Applications,307,870,BR
2022,subfields/1712,Software,58,129,BR
2022,subfields/1711,Signal Processing,218,894,BR
2022,subfields/1709,Human-Computer Interaction,236,2189,BR
2022,subfields/1708,Hardware and Architecture,95,202,BR
2022,subfields/1704,Computer Graphics and Computer-Aided Design,33,42,BR
2021,subfields/1707,Computer Vision and Pattern Recognition,789,5365,BR
2021,subfields/1710,Information Systems,3535,8160,BR
2021,subfields/1703,Computational Theory and Mathematics,502,3295,BR
2021,subfields/1702,Artificial Intelligence,1778,10761,BR
2021,subfields/1705,Computer Networks and Communications,891,5036,BR
2021,subfields/1706,Computer Science Applications,382,2443,BR
2021,subfields/1712,Software,89,373,BR
2021,subfields/1711,Signal Processing,231,1056,BR
2021,subfields/1709,Human-Computer Interaction,228,1038,BR
2021,subfields/1708,Hardware and Architecture,140,465,BR
2021,subfields/1704,Computer Graphics and Computer-Aided Design,37,193,BR
2020,subfields/1707,Computer Vision and Pattern Recognition,826,7855,BR
2020,subfields/1710,Information Systems,3568,16309,BR
2020,subfields/1703,Computational Theory and Mathematics,476,4654,BR
2020,subfields/1702,Artificial Intelligence,1883,17243,BR
2020,subfields/1705,Computer Networks and Communications,976,7601,BR
2020,subfields/1706,Computer Science Applications,367,2260,BR
2020,subfields/1712,Software,107,726,BR
2020,subfields/1711,Signal Processing,250,1923,BR
2020,subfields/1709,Human-Computer Interaction,246,1073,BR
2020,subfields/1708,Hardware and Architecture,160,517,BR
2020,subfields/1704,Computer Graphics and Computer-Aided Design,39,141,BR
2019,subfields/1707,Computer Vision and Pattern Recognition,906,10355,BR
2019,subfields/1710,Information Systems,2650,9903,BR
2019,subfields/1703,Computational Theory and Mathematics,453,3822,BR
2019,subfields/1702,Artificial Intelligence,1773,17061,BR
