publication_year,subfield_id,subfield_display_name,count,citation_count,country_code
2024,subfields/1707,Computer Vision and Pattern Recognition,5651,3188,IN
2024,subfields/1710,Information Systems,5662,3605,IN
2024,subfields/1703,Computational Theory and Mathematics,1935,1797,IN
2024,subfields/1702,Artificial Intelligence,9169,7164,IN
2024,subfields/1705,Computer Networks and Communications,5918,4568,IN
2024,subfields/1706,Computer Science Applications,612,600,IN
2024,subfields/1712,Software,159,75,IN
2024,subfields/1711,Signal Processing,1617,722,IN
2024,subfields/1709,Human-Computer Interaction,866,540,IN
2024,subfields/1708,Hardware and Architecture,523,113,IN
2024,subfields/1704,Computer Graphics and Computer-Aided Design,84,16,IN
2023,subfields/1707,Computer Vision and Pattern Recognition,7165,17831,IN
2023,subfields/1710,Information Systems,7267,20005,IN
2023,subfields/1703,Computational Theory and Mathematics,2401,6278,IN
2023,subfields/1702,Artificial Intelligence,10289,31039,IN
2023,subfields/1705,Computer Networks and Communications,6887,21625,IN
2023,subfields/1706,Computer Science Applications,615,1780,IN
2023,subfields/1712,Software,178,266,IN
2023,subfields/1711,Signal Processing,1940,3556,IN
2023,subfields/1709,Human-Computer Interaction,965,3168,IN
2023,subfields/1708,Hardware and Architecture,487,636,IN
2023,subfields/1704,Computer Graphics and Computer-Aided Design,112,101,IN
2022,subfields/1707,Computer Vision and Pattern Recognition,6578,36137,IN
2022,subfields/1710,Information Systems,6428,34311,IN
2022,subfields/1703,Computational Theory and Mathematics,2270,10648,IN
2022,subfields/1702,Artificial Intelligence,8737,54461,IN
2022,subfields/1705,Computer Networks and Communications,6441,37772,IN
2022,subfields/1706,Computer Science Applications,562,3051,IN
2022,subfields/1712,Software,223,694,IN
2022,subfields/1711,Signal Processing,1796,7122,IN
2022,subfields/1709,Human-Computer Interaction,669,6786,IN
2022,subfields/1708,Hardware and Architecture,503,1460,IN
2022,subfields/1704,Computer Graphics and Computer-Aided Design,95,159,IN
2021,subfields/1707,Computer Vision and Pattern Recognition,6256,49207,IN
2021,subfields/1710,Information Systems,5174,41261,IN
2021,subfields/1703,Computational Theory and Mathematics,2141,17105,IN
2021,subfields/1702,Artificial Intelligence,7432,62487,IN
2021,subfields/1705,Computer Networks and Communications,6011,51228,IN
