publication_year,subfield_id,subfield_display_name,count,citation_count,country_code
2024,subfields/1707,Computer Vision and Pattern Recognition,5904,7623,US
2024,subfields/1710,Information Systems,5132,4967,US
2024,subfields/1703,Computational Theory and Mathematics,2885,2970,US
2024,subfields/1702,Artificial Intelligence,15179,26336,US
2024,subfields/1705,Computer Networks and Communications,4786,3245,US
2024,subfields/1706,Computer Science Applications,2106,1968,US
2024,subfields/1712,Software,460,374,US
2024,subfields/1711,Signal Processing,1760,1542,US
2024,subfields/1709,Human-Computer Interaction,1544,1254,US
2024,subfields/1708,Hardware and Architecture,1231,636,US
2024,subfields/1704,Computer Graphics and Computer-Aided Design,487,714,US
2023,subfields/1707,Computer Vision and Pattern Recognition,7053,50982,US
2023,subfields/1710,Information Systems,6268,19454,US
2023,subfields/1703,Computational Theory and Mathematics,3540,12796,US
2023,subfields/1702,Artificial Intelligence,18339,98735,US
2023,subfields/1705,Computer Networks and Communications,5129,14365,US
2023,subfields/1706,Computer Science Applications,1842,7869,US
2023,subfields/1712,Software,444,2790,US
2023,subfields/1711,Signal Processing,1852,6461,US
2023,subfields/1709,Human-Computer Interaction,1521,7170,US
2023,subfields/1708,Hardware and Architecture,1339,2647,US
2023,subfields/1704,Computer Graphics and Computer-Aided Design,415,2820,US
2022,subfields/1707,Computer Vision and Pattern Recognition,6832,102188,US
2022,subfields/1710,Information Systems,6234,36611,US
2022,subfields/1703,Computational Theory and Mathematics,3384,27704,US
2022,subfields/1702,Artificial Intelligence,16601,171574,US
2022,subfields/1705,Computer Networks and Communications,5024,30333,US
2022,subfields/1706,Computer Science Applications,1785,9534,US
2022,subfields/1712,Software,443,2421,US
2022,subfields/1711,Signal Processing,1839,12306,US
2022,subfields/1709,Human-Computer Interaction,1506,15681,US
2022,subfields/1708,Hardware and Architecture,1453,6252,US
2022,subfields/1704,Computer Graphics and Computer-Aided Design,394,4529,US
2021,subfields/1707,Computer Vision and Pattern Recognition,7814,164903,US
2021,subfields/1710,Information Systems,6703,67342,US
2021,subfields/1703,Computational Theory and Mathematics,3694,39224,US
2021,subfields/1702,Artificial Intelligence,18983,319364,US
2021,subfields/1705,Computer Networks and Communications,5781,54270,US
2021,subfields/1706,Computer Science Applications,1815,18068,US
2021,subfields/1712,Software,460,3113,US
2021,subfields/1711,Signal Processing,2079,26360,US
2021,subfields/1709,Human-Computer Interaction,1440,19565,US
2021,subfields/1708,Hardware and Architecture,1530,11487,US
2021,subfields/1704,Computer Graphics and Computer-Aided Design,423,5420,US
2020,subfields/1707,Computer Vision and Pattern Recognition,7269,242022,US
